species_old,species,Genus,Family,Order,Jetz_Order,Jetz_Family,Jetz_Genus,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Tail.Length,Mass,ExtinctionType,ExtinctionPeriod,IslandEndemic,Isl_group_map,LAT,LON,Isl_group_map2,LAT2,LON2,Isl_group_map3,LAT3,LON3
Accipiter efficax,Accipiter_efficax,Accipiter,Accipitridae,Accipitriformes,ACCIPITRIFORMES,Accipitridae,Accipiter,28.29,16.12,9.96,15.01,68.48,255.82,76.13,179.05,375.54,EP,EP,Yes,New Caledonia,-21.369993,166.149178,NA,NA,NA,NA,NA,NA
Accipiter quartus,Accipiter_quartus,Accipiter,Accipitridae,Accipitriformes,ACCIPITRIFORMES,Accipitridae,Accipiter,23.21,13.12,8.3,11.94,53.19,204.87,63.01,146.99,206.22,EP,EP,Yes,New Caledonia,-21.369993,166.149178,NA,NA,NA,NA,NA,NA
Accipiter sp./Abaco,Accipiter_sp./Abaco,Accipiter,Accipitridae,Accipitriformes,ACCIPITRIFORMES,Accipitridae,Accipiter,23.87,13.55,8.57,12.36,55.21,210.48,63.79,152.12,230.6,EP,EP,Yes,"Bahamas, Turks and Caicos",23.358701,-75.150565,NA,NA,NA,NA,NA,NA
Aceros sp./Lifou,Aceros_sp./Lifou,Aceros,Bucerotidae,Bucerotiformes,BUCEROTIFORMES,Bucerotidae,Aceros,178.06,160.53,40.87,67.2,70.16,422.58,82.77,406.86,2100,EP,EP,Yes,New Caledonia,-21.369993,166.149178,NA,NA,NA,NA,NA,NA
Acrocephalus astrolabii,Acrocephalus_astrolabii,Acrocephalus,Acrocephalidae,Passeriformes,PASSERIFORMES,Sylviidae,Acrocephalus,29.5,16,4.76,4.77,33,100,16.6,83,33.21,EH,EH,Yes,Gambier Islands,-22.430041,-135.43067,NA,NA,NA,NA,NA,NA
Acrocephalus luscinius,Acrocephalus_luscinius,Acrocephalus,Acrocephalidae,Passeriformes,PASSERIFORMES,Sylviidae,Acrocephalus,36.3,23.44,4.8,4.94,29.95,85.65,14.96,81.95,34.84,EH,EH,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Acrocephalus musae,Acrocephalus_musae,Acrocephalus,Acrocephalidae,Passeriformes,PASSERIFORMES,Sylviidae,Acrocephalus,37.3,21.93,5.26,5.42,32.68,103,17.48,98.33,41.61,EH,EH,Yes,Society Islands,-17.208191,-151.278983,NA,NA,NA,NA,NA,NA
Acrocephalus nijoi,Acrocephalus_nijoi,Acrocephalus,Acrocephalidae,Passeriformes,PASSERIFORMES,Sylviidae,Acrocephalus,28,19.8,4.7,4.3,29.4,86.3,15.33,79.7,29.5,EH,EH,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Acrocephalus yamashinae,Acrocephalus_yamashinae,Acrocephalus,Acrocephalidae,Passeriformes,PASSERIFORMES,Sylviidae,Acrocephalus,21.9,14.2,4.3,4.1,28,78,13.96,73,23.29,EH,EH,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Aegolius gradyi,Aegolius_gradyi,Aegolius,Strigidae,Strigiformes,STRIGIFORMES,Strigidae,Aegolius,18.65,11.09,7.38,11.43,24.95,130.68,39.36,68.78,119.12,EH,EH,Yes,Bermuda,32.312663,-64.741509,NA,NA,NA,NA,NA,NA
Aegotheles novazelandiae,Aegotheles_novazelandiae,Aegotheles,Aegothelidae,Caprimulgiformes,APODIFORMES,Aegothelidae,Aegotheles,22.59,10.51,5.82,4.99,34.34,199.6,44.64,154.01,175,EP,EP,Yes,New Zealand,-41.437598,174.075856,NA,NA,NA,NA,NA,NA
Aegypius prepyrenaicus,Aegypius_prepyrenaicus,Aegypius,Accipitridae,Accipitriformes,ACCIPITRIFORMES,Accipitridae,Aegypius,87.37,54.38,25.84,39.82,129.19,710.42,271.3,381.88,9320.6,EP,EP,No,continental_Palearctic,57.499934,80.873219,NA,NA,NA,NA,NA,NA
Aepyornis hildebrandti,Aepyornis_hildebrandti,Aepyornis,Aepyornithidae,Aepyornithiformes,Extinct,Extinct,Extinct,139.37,56.52,34.88,35.45,319.06,392.02,13.81,173.19,283150,EP,EP,Yes,Madagascar,-18.745556,46.914274,NA,NA,NA,NA,NA,NA
Aepyornis maximus,Aepyornis_maximus,Aepyornis,Aepyornithidae,Aepyornithiformes,Extinct,Extinct,Extinct,160.65,65.52,39.59,39.58,362.41,429.92,13.59,200.72,409500,EP,EP,Yes,Madagascar,-18.745556,46.914274,NA,NA,NA,NA,NA,NA
Aerodramus manuoi,Aerodramus_manuoi,Aerodramus,Apodidae,Caprimulgiformes,APODIFORMES,Apodidae,Collocalia,7.24,2.95,2.53,2.18,10.37,120.11,82.53,54.62,17,EP,EP,Yes,Cook Islands,-20.219417,-158.905882,NA,NA,NA,NA,NA,NA
aff.Tadorna sp./Kauai,aff.Tadorna_sp./Kauai,Tadorna,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Tadorna,48.62,28.76,17.44,14.8,56.9,312.67,146.47,114.11,1235,EPU,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Aidemedia chascax,Aidemedia_chascax,Aidemedia,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Extinct,19.21,13.02,6.67,8.28,21.82,90.11,21.17,63.27,30.72,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Aidemedia lutetiae,Aidemedia_lutetiae,Aidemedia,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Extinct,19.15,13.02,6.69,8.29,21.79,90.16,21.07,63.19,30.36,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Aidemedia zanclops,Aidemedia_zanclops,Aidemedia,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Extinct,18.71,12.65,6.56,8.14,21.48,88.82,20.95,62.14,29.54,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Aiolornis incredibilis,Aiolornis_incredibilis,Aiolornis,Teratornithidae,Cathartiformes,ACCIPITRIFORMES,Extinct,Extinct,114.48,67.88,28.33,37.28,135.57,758.79,189.22,462.65,23000,EP,EP,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Akialoa ellisiana,Akialoa_ellisiana,Akialoa,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Hemignathus,59.39,47.24,4.32,5.08,22.91,82.07,21.91,48.75,29.5,EH,EH,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Akialoa lanaiensis,Akialoa_lanaiensis,Akialoa,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Hemignathus,38.44,29.26,4.7,5.8,21.2,79.25,20.66,44.4,27.5,EH,EH,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Akialoa obscura,Akialoa_obscura,Akialoa,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Hemignathus,40.89,33.36,4.01,4.99,25.56,80.19,20.19,40,25.69,EH,EH,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Akialoa stejnegeri,Akialoa_stejnegeri,Akialoa,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Hemignathus,59.82,52.77,4.2,5.51,27.32,92.5,25.14,51,35.57,EH,EH,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Alectroenas nitidissimus,Alectroenas_nitidissimus,Alectroenas,Columbidae,Columbiformes,COLUMBIFORMES,Columbidae,Alectroenas,24.59,11.6,4.93,5.8,31.72,213.19,81.52,112.65,294.42,EH,EH,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Alectroenas payandeei,Alectroenas_payandeei,Alectroenas,Columbidae,Columbiformes,COLUMBIFORMES,Columbidae,Alectroenas,21.49,10.01,4.31,5.04,28.45,173.28,55.88,96.03,217.6,EH,EH,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Alectroenas sp./Reunion,Alectroenas_sp./Reunion,Alectroenas,Columbidae,Columbiformes,COLUMBIFORMES,Columbidae,Alectroenas,20.13,9.37,4.05,4.67,26.47,162.05,52.79,89.84,173,EH,EH,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Alopecoenas ferrugineus,Alopecoenas_ferrugineus,Alopecoenas,Columbidae,Columbiformes,COLUMBIFORMES,Columbidae,Gallicolumba,19.86,9.52,3.15,4.25,29.75,134.16,37.74,78.44,114.6,EH,EH,Yes,New Hebrides / Vanuatu,-15.880916,167.814649,NA,NA,NA,NA,NA,NA
Alopecoenas leonpascoi,Alopecoenas_leonpascoi,Alopecoenas,Columbidae,Columbiformes,COLUMBIFORMES,Columbidae,Gallicolumba,24.84,11.83,3.81,5.34,37.97,170.13,43.71,100.89,228.94,EP,EP,Yes,Pitcairn Islands,-24.367163,-128.327394,NA,NA,NA,NA,NA,NA
Alopecoenas longitarsus,Alopecoenas_longitarsus,Alopecoenas,Columbidae,Columbiformes,COLUMBIFORMES,Columbidae,Gallicolumba,25.94,12.25,3.89,5.41,41.66,175.04,44.24,103.68,245.12,EP,EP,Yes,New Caledonia,-21.369993,166.149178,NA,NA,NA,NA,NA,NA
Alopecoenas nui,Alopecoenas_nui,Alopecoenas,Columbidae,Columbiformes,COLUMBIFORMES,Columbidae,Gallicolumba,24.96,11.88,3.84,5.38,38.69,169.16,44.49,99.76,241.13,EP,EP,Yes,Cook Islands,-20.219417,-158.905882,Marquesas,-9.555453,-139.438929,Society Islands,-17.208191,-151.278983
Alopecoenas salamonis,Alopecoenas_salamonis,Alopecoenas,Columbidae,Columbiformes,COLUMBIFORMES,Columbidae,Gallicolumba,20.04,9.59,3.17,4.28,30.09,134.94,38.03,78.78,135,EH,EH,Yes,Solomons Islands,-9.297116,160.4441,NA,NA,NA,NA,NA,NA
Alopochen kervazoi,Alopochen_kervazoi,Alopochen,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Alopochen,46.14,26.16,18.47,16.59,69.63,327.98,127.35,118.41,1772.89,EH,EH,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Alopochen mauritiana,Alopochen_mauritiana,Alopochen,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Alopochen,46.77,26.92,17.77,15.89,64.51,312.3,123.74,118.33,1571.08,EH,EH,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Alopochen sirabensis,Alopochen_sirabensis,Alopochen,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Alopochen,46.81,26.86,17.97,16.04,65.28,318.98,137.47,121.18,1638.47,EP,EP,Yes,Madagascar,-18.745556,46.914274,NA,NA,NA,NA,NA,NA
Amazona martinicana,Amazona_martinicana,Amazona,Psittacidae,Psittaciformes,PSITTACIFORMES,Psittacidae,Amazona,39,29.8,17.66,30.87,23.91,215.38,67.71,121.46,529.5,EH,EH,Yes,Windward and Leeward Islands,14.603884,-61.00752,NA,NA,NA,NA,NA,NA
Amazona sp./Montserrat,Amazona_sp./Montserrat,Amazona,Psittacidae,Psittaciformes,PSITTACIFORMES,Psittacidae,Amazona,33.49,25.48,15.32,26.32,20.77,185.47,59.37,104.85,213,EP,EP,Yes,Windward and Leeward Islands,14.603884,-61.00752,NA,NA,NA,NA,NA,NA
Amazona sp./Turks,Amazona_sp./Turks,Amazona,Psittacidae,Psittaciformes,PSITTACIFORMES,Psittacidae,Amazona,38.66,29.56,17.48,30.55,23.7,213.7,67.17,120.14,500,EP,EP,Yes,"Bahamas, Turks and Caicos",23.358701,-75.150565,NA,NA,NA,NA,NA,NA
Amazona violacea,Amazona_violacea,Amazona,Psittacidae,Psittaciformes,PSITTACIFORMES,Psittacidae,Amazona,37.63,28.71,17.08,29.78,23.14,208.15,65.4,117.48,529.5,EH,EH,Yes,Windward and Leeward Islands,14.603884,-61.00752,NA,NA,NA,NA,NA,NA
Amplibuteo hibbardi,Amplibuteo_hibbardi,Amplibuteo,Accipitridae,Accipitriformes,ACCIPITRIFORMES,Accipitridae,Extinct,30.19,19.97,13.84,24.14,77.31,302.28,184.02,325.43,6418.06,EP,EP,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Amplibuteo woodwardi,Amplibuteo_woodwardi,Amplibuteo,Accipitridae,Accipitriformes,ACCIPITRIFORMES,Accipitridae,Extinct,37.32,23.1,14.57,24.01,87.92,350.66,168.16,317.38,4123.92,EP,EP,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Anabernicula gracilenta,Anabernicula_gracilenta,Anabernicula,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Extinct,49.76,29.85,17.18,14.79,52.06,281.71,106.08,106.94,1237.7,EP,EP,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Anabernicula oregonensis,Anabernicula_oregonensis,Anabernicula,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Extinct,47.46,28.63,16.66,14.25,48.51,270.87,105.91,102.31,1126.08,EP,EP,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Anas amotape,Anas_amotape,Anas,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Anas,43.77,28.8,15.42,12.69,33.21,207.45,92.14,71.62,479.18,EP,EP,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Anas chathamica,Anas_chathamica,Anas,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Anas,57.94,39.05,19.85,17.02,42.88,274.77,117.02,99.64,1360,EP,EP,Yes,New Zealand Outlying Islands (East),-47.757303,179.03928,NA,NA,NA,NA,NA,NA
Anas itchtucknee,Anas_itchtucknee,Anas,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Anas,45.83,30.63,16.02,13.35,34.52,215.85,95.02,79.12,623.9,EP,EP,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Anas marecula,Anas_marecula,Anas,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Anas,38.83,26.35,13.9,11.44,29.34,180.6,78.04,67.32,412.61,EH,EH,Yes,Amsterdam and St Paul Islands,-38.333567,77.547599,NA,NA,NA,NA,NA,NA
Anas sanctahelenae,Anas_sanctahelenae,Anas,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Anas,40.98,27.27,14.49,11.9,30.2,192,88.78,70.46,439.58,EP,EP,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Anas schneideri,Anas_schneideri,Anas,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Anas,44.38,29.78,15.57,12.95,33.46,208.77,91.56,76.76,557.27,EP,EP,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Anas sp./StPaul,Anas_sp./StPaul,Anas,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Anas,40.67,26.98,14.32,11.78,30.84,191.41,85.57,70.16,276.4,EH,EH,Yes,Amsterdam and St Paul Islands,-38.333567,77.547599,NA,NA,NA,NA,NA,NA
Anas sp./VitiLevu,Anas_sp./VitiLevu,Anas,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Anas,44.35,29.67,15.58,12.92,33.46,208.88,92.29,76.58,499.1,EP,EP,Yes,Fiji Islands,-17.839196,179.456641,NA,NA,NA,NA,NA,NA
Anas talarae,Anas_talarae,Anas,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Anas,40.65,27.03,14.67,11.81,30.82,190.03,82.37,66.99,396.41,EP,EP,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Anas theodori,Anas_theodori,Anas,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Anas,48.94,32.41,16.81,14.28,37.92,231.36,99.04,85.65,725.79,EH,EH,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Anatidae sp./Oahu,Anatidae_sp./Oahu,Anatidae sp.,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,NA,48.12,29.64,17.41,14.86,47.96,264.8,101.01,101.03,1425.43,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Anatidae sp./Rodrigues,Anatidae_sp./Rodrigues,Anatidae sp.,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,NA,43.21,26.48,15.72,13.26,42.73,237.87,94.77,89.56,1003.51,EH,EH,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Anatidae sp./Rota,Anatidae_sp./Rota,Anatidae sp.,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,NA,42.41,25.97,15.45,13,42.31,233,93,87.93,885.75,EP,EP,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Anhinga beckeri,Anhinga_beckeri,Anhinga,Anhingidae,Suliformes,SULIFORMES,Anhingidae,Anhinga,85.84,58.98,10.5,13.09,38.97,302.68,111.7,182.09,949.95,EP,EP,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Anomalopteryx didiformis,Anomalopteryx_didiformis,Anomalopteryx,Emeidae,Dinornithiformes,Extinct,Extinct,Extinct,69.09,28.77,26.07,31.53,173.34,278.1,13.69,76.52,49000,EP,EP,Yes,New Zealand,-41.437598,174.075856,NA,NA,NA,NA,NA,NA
Anser sp./Eivissa,Anser_sp./Eivissa,Anser,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Anser,55.02,30.44,19.24,17.27,69.51,405.55,194.09,127.76,2571.3,EP,EP,Yes,Balearic Islands,39.004513,1.454337,NA,NA,NA,NA,NA,NA
Anthornis melanocephala,Anthornis_melanocephala,Anthornis,Meliphagidae,Passeriformes,PASSERIFORMES,Meliphagidae,Anthornis,14.97,8.33,3.23,3.93,31.03,91.9,14.93,94.4,23.6,EH,EH,Yes,New Zealand Outlying Islands (East),-47.757303,179.03928,NA,NA,NA,NA,NA,NA
Aphanapteryx bonasia,Aphanapteryx_bonasia,Aphanapteryx,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Extinct,64.97,38.74,6.53,11.41,65.14,196.57,30.82,83.64,614.83,EH,EH,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Aplonis corvina,Aplonis_corvina,Aplonis,Sturnidae,Passeriformes,PASSERIFORMES,Sturnidae,Aplonis,26.16,16.11,6.88,8.13,28.8,125.82,29.6,88.36,146,EH,EH,Yes,Caroline Islands,6.99127,154.78056,NA,NA,NA,NA,NA,NA
Aplonis diluvialis,Aplonis_diluvialis,Aplonis,Sturnidae,Passeriformes,PASSERIFORMES,Sturnidae,Aplonis,26.85,16.21,6.8,8.02,31.32,129.64,28.94,92.11,96.59,EP,EP,Yes,Society Islands,-17.208191,-151.278983,NA,NA,NA,NA,NA,NA
Aplonis fusca,Aplonis_fusca,Aplonis,Sturnidae,Passeriformes,PASSERIFORMES,Sturnidae,Aplonis,17.15,10.12,4.92,6.35,23.02,94,23.75,63.62,47.67,EH,EH,Yes,Norfolk Island,-29.037746,167.958311,Lord Howe Islands,-31.579806,159.091911,NA,NA,NA
Aplonis mavornata,Aplonis_mavornata,Aplonis,Sturnidae,Passeriformes,PASSERIFORMES,Sturnidae,Aplonis,23.6,12.5,5.1,6.9,27.2,104,23.8,65,62.69,EH,EH,Yes,Cook Islands,-20.219417,-158.905882,NA,NA,NA,NA,NA,NA
Aplonis ulietensis,Aplonis_ulietensis,Aplonis,Sturnidae,Passeriformes,PASSERIFORMES,Sturnidae,Aplonis,31.75,15.29,6.4,7.49,26.9,117.58,27.75,82.57,77.94,EH,EH,Yes,Society Islands,-17.208191,-151.278983,NA,NA,NA,NA,NA,NA
Apteribis brevis,Apteribis_brevis,Apteribis,Threskiornithidae,Pelecaniformes,PELECANIFORMES,Threskiornithidae,Extinct,105.55,84.62,12.36,17.42,55.63,246.6,82.1,139.29,1248,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Apteribis glenos,Apteribis_glenos,Apteribis,Threskiornithidae,Pelecaniformes,PELECANIFORMES,Threskiornithidae,Extinct,109.4,87.65,12.69,17.92,57.75,262.67,87.82,139.56,1309.71,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Apteribis sp./Lanai,Apteribis_sp./Lanai,Apteribis,Threskiornithidae,Pelecaniformes,PELECANIFORMES,Threskiornithidae,Extinct,104.19,83.8,12.12,16.95,57.11,252.62,84.4,133.82,1157.74,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Apteribis sp./Maui,Apteribis_sp./Maui,Apteribis,Threskiornithidae,Pelecaniformes,PELECANIFORMES,Threskiornithidae,Extinct,123.94,101.7,14,20,65.33,295.95,90.42,151.9,1947.4,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Aptornis defossor,Aptornis_defossor,Aptornis,Aptornithidae,Gruiformes,GRUIFORMES,Extinct,Extinct,124.1,79.5,32.66,39.94,123.56,453.15,34.94,354.86,18000,EP,EP,Yes,New Zealand,-41.437598,174.075856,NA,NA,NA,NA,NA,NA
Aptornis otidiformis,Aptornis_otidiformis,Aptornis,Aptornithidae,Gruiformes,GRUIFORMES,Extinct,Extinct,94.55,57.05,23.25,28.98,103.71,366.92,26.19,294.33,8000,EP,EP,Yes,New Zealand,-41.437598,174.075856,NA,NA,NA,NA,NA,NA
Aquila nipaloides,Aquila_nipaloides,Aquila,Accipitridae,Accipitriformes,ACCIPITRIFORMES,Accipitridae,Aquila,61.59,34.96,18.88,29.94,108.35,590.03,202.08,352.28,3362.63,EP,EP,Yes,Corsica and Sardinia ,41.165498,9.082152,NA,NA,NA,NA,NA,NA
Ara autocthones,Ara_autocthones,Ara,Psittacidae,Psittaciformes,PSITTACIFORMES,Psittacidae,Ara,58.71,50.2,25.68,48.79,29.32,331.26,125.98,319.58,696.39,EP,EP,Yes,Hispaniola & Puerto Rico,18.622502,-69.234426,NA,NA,NA,NA,NA,NA
Ara guadeloupensis,Ara_guadeloupensis,Ara,Psittacidae,Psittaciformes,PSITTACIFORMES,Psittacidae,Ara,55.21,47.28,24.3,45.84,27.82,310.89,112.54,315.46,343,EH,EH,Yes,Windward and Leeward Islands,14.603884,-61.00752,NA,NA,NA,NA,NA,NA
Ara tricolor,Ara_tricolor,Ara,Psittacidae,Psittaciformes,PSITTACIFORMES,Psittacidae,Ara,47.7,38.48,20.59,38.37,24.1,271,102.58,294,465.21,EH,EH,Yes,"Cuba, Jamaica and Cayman Islands",19.936934,-78.983243,NA,NA,NA,NA,NA,NA
Ardeidae sp./EasterIsland,Ardeidae_sp./EasterIsland,Ardeidae,Ardeidae,Pelecaniformes,PELECANIFORMES,Ardeidae,NA,75.01,52.85,11.29,15.14,72.22,242.32,69.01,95.94,480.3,EP,EP,Yes,Easter Island,-27.098473,-109.357475,NA,NA,NA,NA,NA,NA
Asio ecuadoriensis,Asio_ecuadoriensis,Asio,Strigidae,Strigiformes,STRIGIFORMES,Strigidae,Asio,37.15,20.49,10.8,18.22,57.15,336.52,109.11,180.51,692.32,EPU,EP,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Asio priscus,Asio_priscus,Asio,Strigidae,Strigiformes,STRIGIFORMES,Strigidae,Asio,30.83,17.06,9.16,15,46.83,281.96,96.93,148.71,404.8,EP,EP,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Athene angelis,Athene_angelis,Athene,Strigidae,Strigiformes,STRIGIFORMES,Strigidae,Athene,24.39,14.18,8.48,13.61,37.57,180.61,51.76,92.2,211.1,EP,EP,Yes,Corsica and Sardinia ,41.165498,9.082152,NA,NA,NA,NA,NA,NA
Athene cretensis,Athene_cretensis,Athene,Strigidae,Strigiformes,STRIGIFORMES,Strigidae,Athene,24.02,13.98,8.26,13.09,37.94,178.18,50.12,91.49,192.7,EP,EP,Yes,Crete,35.120234,25.157755,NA,NA,NA,NA,NA,NA
Atlantisia podarces,Atlantisia_podarces,Atlantisia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Extinct,40.4,21.56,5.33,10.2,62.89,175.83,29.42,72.22,440.14,EH,EH,Yes,Saint Helena,-15.963769,-5.707724,NA,NA,NA,NA,NA,NA
Atlantisia sp./FernandoNoronha,Atlantisia_sp./FernandoNoronha,Atlantisia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Extinct,33.26,17.86,4.57,8.47,50.66,132.95,23.76,55.83,84.1,EH,EH,Yes,Fernando de Noronha,-3.855792,-32.430375,NA,NA,NA,NA,NA,NA
Aythya sp./Reunion,Aythya_sp./Reunion,Aythya,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Aythya,45.74,29.45,18.4,14.24,34.69,212.43,96.41,58.74,800.11,EH,EH,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Belonopterus downsi,Belonopterus_downsi,Belonopterus,Charadriidae,Charadriiformes,CHARADRIIFORMES,Charadriidae,Vanellus,28.29,15.64,4.11,5.11,37.94,165.34,85.72,75.93,148.03,EP,EP,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Belonopterus edmondi,Belonopterus_edmondi,Belonopterus,Charadriidae,Charadriiformes,CHARADRIIFORMES,Charadriidae,Vanellus,24.57,13.75,3.66,4.45,33.34,142.22,72.24,61.01,91.81,EP,EP,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Bermuteo avivorus,Bermuteo_avivorus,Bermuteo,Accipitridae,Accipitriformes,ACCIPITRIFORMES,Accipitridae,Extinct,33.71,19.68,10.71,15.15,54.15,276.95,100.98,160.47,472.06,EH,EH,Yes,Bermuda,32.312663,-64.741509,NA,NA,NA,NA,NA,NA
Biziura delautouri,Biziura_delautouri,Biziura,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Biziura,45.41,27.36,24.39,20.27,51.5,288.54,90.48,102.07,2000,EP,EP,Yes,New Zealand,-41.437598,174.075856,NA,NA,NA,NA,NA,NA
Bountyphaps obsoleta,Bountyphaps_obsoleta,Bountyphaps,Columbidae,Columbiformes,COLUMBIFORMES,Columbidae,Extinct,23.18,11.61,4.65,5.73,29.41,147.5,48.84,105.93,297.62,EP,EP,Yes,Pitcairn Islands,-24.367163,-128.327394,NA,NA,NA,NA,NA,NA
Brachypteracias langrandi,Brachypteracias_langrandi,Brachypteracias,Brachypteraciidae,Coraciiformes,CORACIIFORMES,Brachypteraciidae,Brachypteracias,40.84,27.96,11.96,14.01,38.24,149.09,26.81,127.08,184.61,EP,EP,Yes,Madagascar,-18.745556,46.914274,NA,NA,NA,NA,NA,NA
Branta dickeyi,Branta_dickeyi,Branta,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Branta,52.79,26.84,18.74,16.22,83.89,439.75,189.75,147.89,3854.24,EPU,EP,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Branta hylobadistes,Branta_hylobadistes,Branta,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Branta,46.84,24.49,17.03,14.85,76.33,368.66,160.01,128.88,3544.3,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
